Date,Cal_Index
2020-09-17,99.42423991384308
2020-09-18,99.67898268577582
2020-09-21,100.057990224505
2020-09-22,99.09493828183248
2020-09-23,98.2789329798691
2020-09-24,98.26650650318946
2020-09-25,98.34520752216054
2020-09-28,98.2789329798691
2020-09-29,98.03040344627617
2020-09-30,98.48396984508324
2020-10-01,99.66231613838823
2020-10-02,99.41371452247772
2020-10-05,99.27284027346177
2020-10-06,98.67412471514399
2020-10-07,99.05531385954008
2020-10-08,99.83426558939298
2020-10-09,99.90677439403355
2020-10-12,99.98135487880671
2020-10-13,99.76382846488502
2020-10-14,100.05800704371246
2020-10-15,100.17609281126994
2020-10-16,99.94199295628754
2020-10-19,100.34804226227469
2020-10-20,99.4199295628755
2020-10-21,99.78661694634347
2020-10-22,99.63331261653201
2020-10-23,100.0994406463642
